Время,Источник,Объект,Уверенность
10:32:50,Камера,person,0.79
10:32:50,Камера,person,0.80
10:32:50,Камера,person,0.76
10:32:50,Камера,person,0.85
10:32:50,Камера,person,0.78
10:32:50,Камера,toothbrush,0.37
10:32:50,Камера,банан,0.30
10:32:50,Камера,person,0.81
10:32:50,Камера,person,0.49
10:32:50,Камера,person,0.46
10:32:50,Камера,person,0.74
10:32:50,Камера,person,0.90
10:32:50,Камера,банан,0.65
10:32:50,Камера,person,0.85
10:32:50,Камера,банан,0.67
10:32:51,Камера,person,0.81
10:32:51,Камера,банан,0.77
10:32:51,Камера,банан,0.85
10:32:51,Камера,person,0.82
10:32:51,Камера,банан,0.82
10:32:51,Камера,person,0.70
10:32:51,Камера,person,0.76
10:32:51,Камера,банан,0.75
10:32:51,Камера,банан,0.79
10:32:51,Камера,person,0.74
10:32:51,Камера,chair,0.26
10:32:51,Камера,банан,0.71
10:32:51,Камера,person,0.69
10:32:51,Камера,person,0.72
10:32:51,Камера,банан,0.70
10:32:51,Камера,банан,0.71
10:32:51,Камера,person,0.66
10:32:51,Камера,банан,0.76
10:32:51,Камера,person,0.66
10:32:51,Камера,банан,0.40
10:32:51,Камера,банан,0.76
10:32:51,Камера,person,0.64
10:32:51,Камера,банан,0.48
10:32:51,Камера,person,0.36
10:32:52,Камера,банан,0.63
10:32:52,Камера,person,0.35
10:32:52,Камера,person,0.27
10:32:52,Камера,банан,0.90
10:32:52,Камера,банан,0.88
10:32:52,Камера,person,0.62
10:32:52,Камера,person,0.50
10:32:52,Камера,donut,0.46
10:32:52,Камера,person,0.35
10:32:52,Камера,person,0.27
10:32:52,Камера,банан,0.76
10:32:52,Камера,person,0.49
10:32:52,Камера,банан,0.88
10:32:52,Камера,person,0.58
10:32:52,Камера,банан,0.86
10:32:52,Камера,банан,0.74
10:32:52,Камера,person,0.48
10:32:52,Камера,банан,0.82
10:32:52,Камера,person,0.40
10:32:53,Камера,банан,0.83
10:32:53,Камера,person,0.41
10:32:53,Камера,банан,0.85
10:32:53,Камера,person,0.46
10:32:53,Камера,банан,0.86
10:32:53,Камера,person,0.48
10:32:53,Камера,банан,0.87
10:32:53,Камера,person,0.38
10:32:53,Камера,банан,0.88
10:32:53,Камера,person,0.36
10:32:53,Камера,банан,0.83
10:32:53,Камера,person,0.26
10:32:53,Камера,банан,0.83
10:32:53,Камера,person,0.34
10:32:53,Камера,банан,0.83
10:32:53,Камера,person,0.38
10:32:53,Камера,person,0.29
10:32:53,Камера,банан,0.85
10:32:53,Камера,person,0.35
10:32:53,Камера,person,0.28
10:32:53,Камера,банан,0.82
10:32:53,Камера,person,0.34
10:32:53,Камера,person,0.32
10:32:54,Камера,банан,0.84
10:32:54,Камера,person,0.38
10:32:54,Камера,банан,0.85
10:32:54,Камера,person,0.44
10:32:54,Камера,банан,0.84
10:32:54,Камера,person,0.33
10:32:54,Камера,person,0.30
10:32:54,Камера,банан,0.84
10:32:54,Камера,person,0.35
10:32:54,Камера,банан,0.82
10:32:54,Камера,person,0.26
10:32:54,Камера,банан,0.84
10:32:54,Камера,person,0.28
10:32:54,Камера,банан,0.80
10:32:54,Камера,person,0.26
10:32:54,Камера,person,0.25
10:32:54,Камера,банан,0.77
10:32:54,Камера,банан,0.80
10:32:54,Камера,person,0.28
10:32:54,Камера,банан,0.81
10:32:54,Камера,knife,0.28
10:32:54,Камера,банан,0.61
10:32:54,Камера,банан,0.62
10:32:55,Камера,банан,0.63
10:32:55,Камера,банан,0.52
10:32:55,Камера,банан,0.61
10:32:55,Камера,person,0.27
10:32:55,Камера,банан,0.67
10:32:55,Камера,person,0.36
10:32:55,Камера,банан,0.74
10:32:55,Камера,person,0.43
10:32:55,Камера,person,0.27
10:32:55,Камера,банан,0.71
10:32:55,Камера,person,0.38
10:32:55,Камера,банан,0.63
10:32:55,Камера,person,0.34
10:32:55,Камера,банан,0.68
10:32:55,Камера,person,0.39
10:32:55,Камера,банан,0.71
10:32:55,Камера,person,0.84
10:32:55,Камера,donut,0.77
10:32:55,Камера,donut,0.36
10:32:56,Камера,person,0.68
10:32:56,Камера,donut,0.60
10:32:56,Камера,банан,0.30
10:32:56,Камера,банан,0.83
10:32:56,Камера,hot dog,0.49
10:32:56,Камера,банан,0.60
10:32:56,Камера,банан,0.76
10:32:56,Камера,банан,0.80
10:32:56,Камера,person,0.28
10:32:56,Камера,банан,0.81
10:32:56,Камера,person,0.28
10:32:56,Камера,банан,0.79
10:32:56,Камера,person,0.29
10:32:56,Камера,банан,0.72
10:32:56,Камера,person,0.32
10:32:56,Камера,банан,0.67
10:32:56,Камера,person,0.44
10:32:56,Камера,банан,0.71
10:32:56,Камера,person,0.37
10:32:56,Камера,банан,0.74
10:32:56,Камера,person,0.40
10:32:56,Камера,donut,0.33
10:32:57,Камера,банан,0.62
10:32:57,Камера,банан,0.58
10:32:57,Камера,person,0.27
10:32:57,Камера,банан,0.67
10:32:57,Камера,person,0.32
10:32:57,Камера,банан,0.87
10:32:57,Камера,person,0.83
10:32:57,Камера,donut,0.43
10:32:57,Камера,банан,0.85
10:32:57,Камера,person,0.85
10:32:57,Камера,person,0.85
10:32:57,Камера,банан,0.75
10:32:57,Камера,person,0.81
10:32:57,Камера,банан,0.35
10:32:57,Камера,person,0.63
10:32:57,Камера,person,0.70
10:32:57,Камера,donut,0.59
10:32:57,Камера,банан,0.53
10:32:57,Камера,person,0.33
10:32:57,Камера,банан,0.32
10:32:58,Камера,банан,0.65
10:32:58,Камера,банан,0.82
10:32:58,Камера,банан,0.79
10:32:58,Камера,банан,0.78
10:32:58,Камера,банан,0.79
10:32:58,Камера,банан,0.84
10:32:58,Камера,банан,0.81
10:32:58,Камера,банан,0.81
10:32:58,Камера,банан,0.78
10:32:58,Камера,банан,0.84
10:32:58,Камера,банан,0.85
10:32:59,Камера,банан,0.90
10:32:59,Камера,банан,0.86
10:32:59,Камера,банан,0.88
10:32:59,Камера,person,0.28
10:32:59,Камера,банан,0.89
10:32:59,Камера,банан,0.88
10:32:59,Камера,банан,0.85
10:32:59,Камера,person,0.31
10:32:59,Камера,банан,0.87
10:32:59,Камера,банан,0.88
10:32:59,Камера,банан,0.85
10:32:59,Камера,банан,0.85
10:32:59,Камера,person,0.26
10:33:00,Камера,банан,0.85
10:33:00,Камера,person,0.29
10:33:00,Камера,банан,0.87
10:33:00,Камера,банан,0.85
10:33:00,Камера,банан,0.87
10:33:00,Камера,банан,0.86
10:33:00,Камера,банан,0.86
10:33:00,Камера,банан,0.88
10:33:00,Камера,person,0.30
10:33:00,Камера,банан,0.90
10:33:00,Камера,person,0.26
10:33:00,Камера,банан,0.89
10:33:00,Камера,person,0.27
10:33:00,Камера,банан,0.89
10:33:00,Камера,person,0.31
10:33:00,Камера,банан,0.88
10:33:00,Камера,person,0.25
10:33:01,Камера,банан,0.87
10:33:01,Камера,банан,0.87
10:33:01,Камера,банан,0.87
10:33:01,Камера,банан,0.86
10:33:01,Камера,person,0.30
10:33:01,Камера,банан,0.89
10:33:01,Камера,person,0.25
10:33:01,Камера,банан,0.84
10:33:01,Камера,банан,0.82
10:33:01,Камера,банан,0.86
10:33:01,Камера,person,0.28
10:33:01,Камера,банан,0.85
10:33:01,Камера,банан,0.84
10:33:01,Камера,person,0.28
10:33:01,Камера,банан,0.84
10:33:02,Камера,банан,0.81
10:33:02,Камера,банан,0.81
10:33:02,Камера,банан,0.80
10:33:02,Камера,person,0.26
10:33:02,Камера,банан,0.87
10:33:02,Камера,банан,0.85
10:33:02,Камера,банан,0.88
10:33:02,Камера,банан,0.88
10:33:02,Камера,person,0.31
10:33:02,Камера,банан,0.90
10:33:02,Камера,person,0.33
10:33:02,Камера,банан,0.89
10:33:02,Камера,person,0.31
10:33:02,Камера,банан,0.89
10:33:02,Камера,person,0.31
10:33:03,Камера,банан,0.89
10:33:03,Камера,person,0.30
10:33:03,Камера,банан,0.88
10:33:03,Камера,банан,0.88
10:33:03,Камера,person,0.26
10:33:03,Камера,банан,0.90
10:33:03,Камера,банан,0.81
10:33:03,Камера,банан,0.87
10:33:03,Камера,банан,0.83
10:33:03,Камера,person,0.48
10:33:03,Камера,person,0.47
10:33:03,Камера,person,0.71
10:33:03,Камера,donut,0.29
10:33:03,Камера,scissors,0.26
10:33:03,Камера,person,0.87
10:33:03,Камера,donut,0.35
10:33:04,Камера,person,0.87
10:33:04,Камера,person,0.85
10:33:04,Камера,person,0.89
10:33:04,Камера,person,0.89
10:33:04,Камера,person,0.90
10:33:04,Камера,person,0.89
10:33:04,Камера,person,0.89
10:33:04,Камера,person,0.91
10:33:04,Камера,person,0.83
10:33:04,Камера,chair,0.26
10:33:04,Камера,person,0.81
10:33:04,Камера,person,0.85
10:33:05,Камера,person,0.89
10:33:05,Камера,person,0.88
10:33:05,Камера,person,0.90
10:33:05,Камера,person,0.90
10:33:05,Камера,person,0.89
10:33:05,Камера,person,0.88
10:33:05,Камера,person,0.91
10:33:05,Камера,person,0.91
10:33:05,Камера,person,0.92
10:33:05,Камера,person,0.90
10:33:06,Камера,person,0.92
10:33:06,Камера,person,0.90
10:33:06,Камера,person,0.90
10:33:06,Камера,person,0.92
10:33:06,Камера,person,0.89
10:33:06,Камера,person,0.91
10:33:06,Камера,person,0.91
10:33:06,Камера,банан,0.51
10:33:06,Камера,person,0.81
10:33:06,Камера,person,0.82
10:33:06,Камера,scissors,0.28
10:33:06,Камера,person,0.76
10:33:06,Камера,scissors,0.33
10:33:06,Камера,person,0.88
10:33:07,Камера,person,0.83
10:33:07,Камера,банан,0.86
10:33:07,Камера,person,0.62
10:33:07,Камера,яблоко,0.38
10:33:07,Камера,яблоко,0.31
10:33:07,Камера,яблоко,0.27
10:33:07,Камера,банан,0.86
10:33:07,Камера,person,0.57
10:33:07,Камера,яблоко,0.30
10:33:07,Камера,банан,0.87
10:33:07,Камера,person,0.63
10:33:07,Камера,person,0.32
10:33:07,Камера,банан,0.88
10:33:07,Камера,person,0.62
10:33:07,Камера,яблоко,0.39
10:33:07,Камера,яблоко,0.30
10:33:07,Камера,банан,0.87
10:33:07,Камера,person,0.59
10:33:07,Камера,яблоко,0.30
10:33:07,Камера,банан,0.83
10:33:07,Камера,person,0.66
10:33:07,Камера,банан,0.85
10:33:07,Камера,person,0.74
10:33:07,Камера,банан,0.85
10:33:07,Камера,person,0.84
10:33:07,Камера,person,0.90
10:33:07,Камера,банан,0.87
10:33:07,Камера,person,0.90
10:33:07,Камера,банан,0.86
10:33:08,Камера,person,0.88
10:33:08,Камера,банан,0.61
10:33:08,Камера,person,0.87
10:33:08,Камера,person,0.38
10:33:08,Камера,банан,0.27
10:33:08,Камера,person,0.89
10:33:08,Камера,person,0.84
10:33:08,Камера,person,0.65
10:33:08,Камера,банан,0.81
10:33:08,Камера,person,0.28
10:33:08,Камера,банан,0.77
10:33:08,Камера,person,0.44
10:33:08,Камера,банан,0.86
10:33:08,Камера,яблоко,0.31
10:33:08,Камера,person,0.29
10:33:08,Камера,банан,0.27
10:33:08,Камера,яблоко,0.25
10:33:08,Камера,банан,0.85
10:33:08,Камера,банан,0.36
10:33:08,Камера,яблоко,0.30
10:33:08,Камера,банан,0.92
10:33:08,Камера,банан,0.92
10:33:09,Камера,банан,0.89
10:33:09,Камера,яблоко,0.46
10:33:09,Камера,яблоко,0.34
10:33:09,Камера,person,0.27
10:33:09,Камера,банан,0.89
10:33:09,Камера,яблоко,0.39
10:33:09,Камера,person,0.29
10:33:09,Камера,яблоко,0.29
10:33:09,Камера,банан,0.28
10:33:09,Камера,person,0.26
10:33:09,Камера,банан,0.89
10:33:09,Камера,person,0.30
10:33:09,Камера,яблоко,0.27
10:33:09,Камера,person,0.25
10:33:09,Камера,банан,0.87
10:33:09,Камера,person,0.54
10:33:09,Камера,person,0.33
10:33:09,Камера,банан,0.87
10:33:09,Камера,person,0.54
10:33:09,Камера,person,0.33
10:33:09,Камера,банан,0.87
10:33:09,Камера,person,0.50
10:33:09,Камера,person,0.40
10:33:09,Камера,яблоко,0.29
10:33:09,Камера,яблоко,0.26
10:33:09,Камера,банан,0.89
10:33:09,Камера,person,0.45
10:33:09,Камера,person,0.38
10:33:09,Камера,банан,0.91
10:33:09,Камера,person,0.43
10:33:09,Камера,person,0.38
